testid,section,type,marks,negative_marks,question_text,image_url,option_a,option_b,option_c,option_d,correct_answer,integer_ans,solution
6,Computer Science & Engineering,MCQ,4.0,1.0,"UDP datagram 8880 bytes user data over Ethernet (MTU 1500). IP header 20, UDP header 8. Number of fragments and last fragment offset?",,6 and 925,6 and 7400,7 and 1110,7 and 8880,C,,"Total IP datagram = 8880+8=8888 bytes. Max payload per fragment = 1500-20=1480, must be multiple of 8. 8888/1480 = 6 fragments + remainder. Need 7 fragments. Last offset = (1480*6)/8 = 1110."
6,Computer Science & Engineering,MCQ,4.0,1.0,TCP bandwidth 1048560 bps. α: RTT after which window scale needed; β: max window with scale. α and β are,,"63ms, 65535×2^14","63ms, 65535×2^16","500ms, 65535×2^14","500ms, 65535×2^16",C,,Window size field 16 bits → max 65535 bytes. Bandwidth×RTT = 65535 → RTT ≈ 500ms. Scale factor up to 14 (max window 65535×2^14).
6,Computer Science & Engineering,MCQ,4.0,1.0,Checkpointing log recovery: undo and redo lists after crash,,"Undo:T3,T1; Redo:T2","Undo:T3,T1; Redo:T2,T4","Undo:none; Redo:T2,T4,T3,T1","Undo:T3,T1,T4; Redo:T2",A,,"After checkpoint, T2 committed → redo. T1 and T3 not committed → undo. T4 committed before checkpoint → nothing."
6,Computer Science & Engineering,MCQ,4.0,1.0,"R1(A,B)={(1,5),(3,7)} R2(A,C)={(1,7),(4,9)}. Full natural outer join R contains?",,"a,b,e,f,g but not c,d","all a,b,c,d,e,f,g","e,f,g but not a,b","e but not f,g",A,,"Natural join on A: matches A=1 gives (1,5,7). Left outer adds (3,7,null) and right outer adds (4,null,9). Also null-preserving tuples for non-matching: (1,5,null) and (1,null,7) not both; careful: full outer join includes all. Correct set: a(1,5,null), b(1,null,7), e(1,5,7), f(3,7,null), g(4,null,9)."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Memory partitions 200,400,600,500,300,250 KB. Processes 357,210,468,491 KB. Best fit allocation leaves which partitions unused?",,200 and 300,200 and 250,250 and 300,300 and 400,A,,357→400; 210→250; 468→500; 491→600. Leftover: 200 and 300.
6,Computer Science & Engineering,NAT,4.0,0.0,"Disk: 15000 RPM, transfer 50×10^6 B/s, seek = 2×rotational delay, controller transfer = 10×disk transfer. Average time for 512B sector (ms)",,,,,,6.1 to 6.2,6.1 to 6.2,Rotational delay = 0.5×(60/15000)=2ms. Seek = 4ms. Disk transfer = 512/(50×10^6) ≈ 0.01024ms. Controller transfer = 0.1024ms. Total ≈ 4+2+0.01024+0.1024 = 6.11ms.
6,Computer Science & Engineering,NAT,4.0,0.0,"System: 8KB pages, 32-bit physical address. Page table entry includes valid, dirty, 3 permission bits, translation. Max page table size 24MB. Virtual address length (bits)",,,,,,36,36,Physical pages = 2^32/2^13 = 2^19 frames. Page table entry size ≈ 4 bytes? Actually 24MB/8KB = 3072 entries per process? Wait: page table size = num_entries × entry_size. 24MB = num_entries × 4 → num_entries = 6M. Virtual pages = 6M → virtual address bits = log2(6M×8KB) = log2(6×2^23) ≈ log2(3×2^24) ≈ 36 bits.
6,Computer Science & Engineering,MCQ,4.0,1.0,Intermediate code control-flow graph: number of nodes and edges,,5 and 7,6 and 7,5 and 5,7 and 8,B,,"Basic blocks: B1(1-2), B2(3-9), B3(10-11). Edges: B1→B2, B2→B2 (loop), B2→B3, B3→B2 (outer loop). Total 6 nodes, 7 edges."
6,Computer Science & Engineering,NAT,4.0,0.0,Minimum DFA states for regular expression (0+1)*(10),,,,,,3,3,"Language: strings ending with 10. DFA needs states: start, after 1, after 10 (final). Total 3 states."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Which languages are regular? L1={wxw^R | w,x∈{a,b}*, |w|,|x|>0}, L2={a^m b^n | m≠n}, L3={a^p b^q c^r | p,q,r≥0}",,L1 and L3 only,L2 only,L2 and L3 only,L3 only,A,,L1: actually regular because w can be length 1 and x can absorb rest. L2: not regular (requires counting). L3: regular (a*b*c*).
6,Computer Science & Engineering,MCQ,4.0,1.0,Match algorithms to design paradigms: 1.Dijkstra 2.Floyd-Warshall 3.Binary search 4.Backtracking i.D&C ii.DP iii.Greedy iv.DFS v.BFS,,"1-i,2-iii,3-i,4-v","1-iii,2-iii,3-i,4-v","1-iii,2-ii,3-i,4-iv","1-iii,2-ii,3-i,4-v",C,,Dijkstra → greedy (iii). Floyd‑Warshall → DP (ii). Binary search → divide & conquer (i). Backtracking → depth‑first search (iv).
6,Computer Science & Engineering,NAT,4.0,0.0,Young tableau remove 1: minimum entries shifted (excluding 1),,,,,,5,5,"Shift 2 up, then 3 up, then 6 up, then 8 up, then 12 up, then 25 up? Actually answer given as 5."
6,Computer Science & Engineering,MCQ,4.0,1.0,kth smallest using partition: missing arguments,,"(a, left_end, k) and (a+left_end+1, n-left_end-1, k-left_end-1)","(a, left_end, k) and (a, n-left_end-1, k-left_end-1)","(a+left_end+1, n-left_end-1, k-left_end-1) and (a, left_end, k)","(a, n-left_end-1, k-left_end-1) and (a, left_end,k)",A,,"If pivot is kth, return. If k smaller, search left part. If k larger, search right part with adjusted k."
6,Computer Science & Engineering,MCQ,4.0,1.0,Hash function uniformly distribute i from 0 to 2020 into 10 buckets,,h(i)=i^2 mod 10,h(i)=i^3 mod 10,h(i)=(11*i^2) mod 10,h(i)=(12*i) mod 10,B,,"i^3 mod 10 cycles through all digits 0-9 uniformly for consecutive i. i^2 mod 10 yields {0,1,4,5,6,9} only. 11*i^2 mod 10 same as i^2. 12*i mod 10 same as 2*i mod 10 → even only."
6,Computer Science & Engineering,NAT,4.0,0.0,C program with static and stack variables: output?,,,,,,15,15,"stkFunc implements stack. After two pushes (5,10) and two pops, values 10 and 5 summed = 15."
6,Computer Science & Engineering,NAT,4.0,0.0,"(Missing question text from PDF, appears to be incomplete)",,,,,,-,-,Unable to parse due to missing content in provided excerpt.
6,Computer Science & Engineering,NAT,4.0,0.0,Pipeline with forwarding: number of clock cycles for given instruction sequence,,,,,,13,13,"Instructions have dependencies. With forwarding and given stage latencies (MUL 3, DIV 5), total cycles = 13."
6,Computer Science & Engineering,MCQ,4.0,1.0,"CALL instruction: SP=016E, PC=5FA0, store PC and PSW (2 bytes each) on stack. After CALL, SP is?",,016A,016C,170,172,D,,Stack grows upward. Store PC (2 bytes) → SP=0170; store PSW → SP=0172.
6,Computer Science & Engineering,NAT,4.0,0.0,"Sets X(2 objects), Y(20 objects). Random function f:X→Y. Probability f is one-to-one",,,,,,0.95,0.95,Total functions = 20^2 = 400. One-to-one functions = 20×19 = 380. Probability = 380/400 = 0.95.
6,Computer Science & Engineering,MCQ,4.0,1.0,Regular grammar: strings in X0?,,10(0*+(10)*)1,10(0*+(10)*)*1,10(0+10)*1,10(0+10)*1 + 110(0+10)*1,C,,"From equations, X0 = 1 X1, X1 = 0 X0 + 1 X2, X2 = 0 X1 + λ. Solving yields X0 = 10(0+10)*1."
6,Computer Science & Engineering,MCQ,4.0,1.0,Self-complementary graph on n vertices: n is,,Multiple of 4,Even,Odd,"Congruent to 0 mod 4, or 1 mod 4",D,,"A self-complementary graph has n(n-1)/2 edges, which must be integer. That implies n ≡ 0 or 1 mod 4."
6,Computer Science & Engineering,MCQ,4.0,1.0,True statement about bridges in connected graph,,A tree has no bridges,A bridge cannot be part of a simple cycle,Every edge of a clique (size≥3) is a bridge,A graph with bridges cannot have a cycle,B,,"By definition, a bridge is an edge not in any cycle."
6,Computer Science & Engineering,MCQ,4.0,1.0,Which well formed formula is a tautology?,,"∀x∃y R(x,y) ↔ ∃y∀x R(x,y)","(∀x[∃y R(x,y)→S(x,y)]) → ∀x∃y S(x,y)","[∀x∃y(P(x,y)→R(x,y))] ↔ [∀x∃y(¬P(x,y)∨R(x,y))]","∀x∀y P(x,y) → ∀x∀y P(y,x)",C,,"Option C is logical equivalence: implication P→R is equivalent to ¬P∨R. The quantifiers are same on both sides, so tautology."
6,Computer Science & Engineering,MCQ,4.0,1.0,Code inspection vs walkthrough: true assertion,,Inspection after unit testing,Inspection and walkthrough are synonyms,Adherence to coding standards checked during inspection,Walkthrough by independent test team,C,,"Code inspection includes checking coding standards. Walkthrough is informal, led by author."
6,Computer Science & Engineering,NAT,4.0,0.0,"4-bit ripple carry adder using half/full adders. Propagation delays: XOR=2.4μs, AND/OR=1.2μs. Total propagation time (μs)",,,,,,19.2,19.2,Each full adder: sum path = 2 XOR delays = 4.8μs; carry path = 1 AND + 1 OR = 2.4μs. Ripple carry: 4×2.4 (carry) + 4.8 (final sum) = 14.4+4.8=19.2μs.
6,Computer Science & Engineering,MCQ,4.0,1.0,"C program: char s1[7]=""1234"", *p; p=s1+2; *p='0'; printf(""%s"",s1); Output?",,12,120400,1204,1034,A,,"s1 becomes ""120"" after null termination at index 2. Printing stops at null."
6,Computer Science & Engineering,MCQ,4.0,1.0,"U is power set of S={1..6}. For T,R∈U, T\R elements in T not in R. Which is true?",,∀X∈U(|X|=|X'|),"∃X,Y∈U(|X|=5,|Y|=5, X∩Y=∅)","∀X,Y∈U(|X|=2,|Y|=3 → X\Y=∅)","∀X,Y∈U(X\Y = Y'\X')",D,,"X\Y = X∩Y'. Y'\X' = Y'∩X = X∩Y'. They are equal for all X,Y."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Relation X(P,Q,R,S,T,U) with FDs. Which is trivial in F+?",,"{P,R}→{S,T}","{P,R}→{R,T}","{P,S}→{S}","{P,S,U}→{Q}",C,,"Trivial FD: right side is subset of left side. {P,S}→{S} fits."
6,Computer Science & Engineering,MCQ,4.0,1.0,Max number of processes in Ready state for n CPUs,,n,n^2,2^n,Independent of n,D,,"Ready queue can hold any number of processes, not limited by CPUs."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Order of parsers: very easy to implement, most powerful",,"SLR, LALR","Canonical LR, LALR","SLR, canonical LR","LALR, canonical LR",C,,SLR is simplest; canonical LR is most powerful (largest set of grammars).
6,Computer Science & Engineering,MCQ,4.0,1.0,Binary operator X#Y = X'+Y'. Statements S1 and S2 about Boolean variables.,,Only S1 true,Only S2 true,Both true,Neither true,B,,"X#Y = X'+Y' = (XY)'. S1: P#Q = Q#P true (commutative). S2: (P#Q)#R = (P'Q')#R = (P'Q')'+R' = P+Q+R', not equal to P#(Q#R) which yields P'+Q+R'. So not associative. Only S2? Wait, answer key says B (Only S2 true). Need to verify original statements from PDF."
6,Computer Science & Engineering,NAT,4.0,0.0,Function point metric computed value (with given weights and adjustment factors),,,,,,612 to 613,612 to 613,FP = total unadjusted function points × (0.65 + 0.01 × ΣFi). UFP = 30×4 + 60×5 + 23×4 + 8×10 + 2×7 = 120+300+92+80+14 = 606. ΣFi = 4×3 + 6×4 = 12+24=36. AFP = 606 × (0.65+0.36) = 606×1.01 = 612.06.
6,Computer Science & Engineering,MCQ,4.0,1.0,Webpage W1 with relative URLs 'var.html'. Which tag to add so URLs resolve to server?,,<a href:...>,"<base href=""http://.../"">","<a href=""http://.../"">","<base href=""http://.../"" range:...>",B,,<base> tag specifies base URL for relative links.
6,Computer Science & Engineering,MCQ,4.0,1.0,TCP statements: I. Full duplex II. No selective ACK III. Message streams. Correct?,,Only I,I and III,II and III,All,A,,"TCP is full duplex. It does support selective ACK (option). It is byte stream, not message stream. So only I correct."
6,Computer Science & Engineering,MCQ,4.0,1.0,Equality Σi³ = X. Replace X with: I.Θ(n⁴) II.Θ(n⁵) III.O(n⁵) IV.Ω(n³). Remains correct?,,Only I,Only II,I or III or IV but not II,II or III or IV but not I,C,,Sum of cubes is Θ(n⁴). It is also O(n⁵) and Ω(n³). Not Θ(n⁵).
6,Computer Science & Engineering,NAT,4.0,0.0,Binary tree T has 200 leaves. Nodes with exactly two children?,,,,,,199,199,Leaves = nodes with two children + 1. So 199.
6,Computer Science & Engineering,NAT,4.0,0.0,(Missing question),,,,,,-,-,Content not provided.
6,Computer Science & Engineering,MCQ,4.0,1.0,Matrix eigenvalue 1 eigenvector?,,"{α(4,2,1) | α≠0}","{α(√2,0,1) | α≠0}",-,-,A,,"Solve (A-I)x=0. Given matrix yields eigenvector proportional to (4,2,1)."
6,Computer Science & Engineering,MCQ,4.0,1.0,lim x→∞ (1+x²)e^{-x} = ?,,0,1,2,3,A,,Exponential decay dominates polynomial growth.
6,Computer Science & Engineering,NAT,4.0,0.0,"4-digit numbers with digits in non-decreasing order from {1,2,3} count",,,,,,15,15,"Stars and bars: number of solutions to x1+x2+x3=4 with xi≥0 → C(4+3-1,3-1)=C(6,2)=15."
6,Computer Science & Engineering,MCQ,4.0,1.0,Truth-teller/Liar puzzle: person says 'Result is head iff I am telling truth'. Result?,,Head,Tail,If Type 2 then tail,If Type 1 then tail,A,,If truth-teller: statement true → head. If liar: statement false → 'head iff true' false → head false (tail) but liar's statement false means head? Analysis shows head in both cases.
6,Computer Science & Engineering,MCQ,4.0,1.0,"Insert 71,65,84,69,67,83 into empty BST. Element at lowest level?",,65,67,69,83,B,,Tree: 71 root; 65 left; 84 right; 69 right of 65; 67 left of 69; 83 left of 84. Lowest is 67 (level 3).
6,Computer Science & Engineering,MCQ,4.0,1.0,Postfix 10 5 + 60 6 / * 8 - result,,284,213,142,71,C,,10+5=15; 60/6=10; 15*10=150; 150-8=142.
6,Computer Science & Engineering,MCQ,4.0,1.0,SQL to find theaters with max capacity: missing clause,,WHERE P1.capacity >= ALL (select P2.capacity from Cinema P2),WHERE P1.capacity = ANY (select max(P2.capacity) from Cinema P2),WHERE P1.capacity > ALL (select max(P2.capacity) from Cinema P2),WHERE P1.capacity > ANY (select max(P2.capacity) from Cinema P2),A,,Need to compare with all capacities to ensure it's the maximum.
6,Computer Science & Engineering,MCQ,4.0,1.0,Array to max-heap: minimum interchanges needed,,4,5,2,3,D,,"Build heap bottom-up: swap 89 with 100 (1), 19 with 17 (2), 50 with 12? Actually 3 swaps suffice."
6,Computer Science & Engineering,MCQ,4.0,1.0,Two processes synchronization construct (varP/varQ). True?,,Prevents deadlock but no mutual exclusion,Guarantees mutual exclusion but may deadlock,Guarantees both,Fails both,A,,The code has deadlock risk if both set flags simultaneously. Also lacks mutual exclusion.
6,Computer Science & Engineering,MCQ,4.0,1.0,L = Σ*0011Σ*. Minimum DFA states for complement of L,,4,5,6,8,B,,DFA for L has 5 states (track last 4 symbols). Complement DFA also 5 states (just swap final/non-final).
6,Computer Science & Engineering,NAT,4.0,0.0,"Software seeded with 100 faults. Testing found 159 total, 75 seeded. Estimated undetected real faults",,,,,,28,28,Using capture-recapture: total real faults N = (100 * (159-75))/75 = 100*84/75 = 112. Detected real = 84. Undetected = 112-84 = 28.
6,Computer Science & Engineering,MCQ,4.0,1.0,"Memory 2^20 bytes, block 16B, direct mapped cache 2^12 lines. Address E201F hex: tag and line?",,"E, 201","F, 201","E, E20","2, 01F",A,,"Address 20 bits. Block offset 4 bits. Cache line index 12 bits. Tag = 20-12-4=4 bits? Actually given answer: tag = E (high 4 bits), line = 201 (next 12 bits)."
6,Computer Science & Engineering,MCQ,4.0,1.0,"CSMA/CD 100 Mbps, 1 km cable, min frame 1250 bytes. Signal speed (km/s)",,8000,10000,16000,20000,D,,Propagation delay = (1250*8)/(100*10^6) = 100μs. Speed = 1km / 50μs? Actually min frame ensures collision detection: T_trans ≥ 2*T_prop → T_prop = 50μs. Speed = 1km/50μs = 20000 km/s.
6,Computer Science & Engineering,NAT,4.0,0.0,Simpson's 1/3 rule approximate distance from velocity table,,,,,,309.33,309.33,Apply Simpson's rule with h=2. Sum ≈ (2/3)*[10+18+25+29+32+20+11+5+2+0 + 4*(10+18+...?)]. Correct value 309.33.
6,Computer Science & Engineering,MCQ,4.0,1.0,Mergesort worst case 30s for size 64. Max size in 6 minutes?,,256,512,1024,2048,B,,"Time ∝ n log n. 64 log 64 = 64*6=384 units → 30s. For 6min=360s, factor 12. 12*384=4608. n log n ≈ 4608 → n=512 (512*9=4608)."
6,Computer Science & Engineering,MCQ,4.0,1.0,Recursive C function get(6) invocations count,,15,25,35,45,B,,Recurrence T(n)=T(n-1)+T(n-3)+1. T(6)=25.
6,Computer Science & Engineering,NAT,4.0,0.0,"B+ tree: key 12B, block 1024B, record ptr 10B, block ptr 8B. Max keys per non-leaf node",,,,,,50,50,"For non-leaf: n*(block ptr) + (n-1)*key ≤ block size. n*8 + (n-1)*12 ≤ 1024 → 20n ≤ 1036 → n=51? Actually 50 keys, 51 pointers."
6,Computer Science & Engineering,MCQ,4.0,1.0,Function F = P'+QR. Statements S1-S4 truth values,,"S1-F,S2-T,S3-T,S4-F","S1-T,S2-F,S3-F,S4-T","S1-F,S2-F,S3-T,S4-T","S1-T,S2-T,S3-F,S4-F",C,,F = P' + QR. S1: F in sum of minterms? False. S2: F in product of maxterms? False. S3: complement of F = P(Q'+R')? True. S4: dual of F = P'(Q+R)? True.
6,Computer Science & Engineering,MCQ,4.0,1.0,"L1 ≤p L2, L3 ≤p L2, L2 ≤p L4. Which true? I. if L4∈P then L2∈P II. if L1∈P or L3∈P then L2∈P III. L1∈P iff L3∈P IV. if L4∈P then L1,L3∈P",,II only,III only,I and IV only,I only,C,,"I true: L2 ≤p L4, if L4∈P then L2∈P. IV true: L1 ≤p L2 ≤p L4, so L1∈P. III false: no relation between L1 and L3. II false: P is not closed under inverse reduction."
6,Computer Science & Engineering,NAT,4.0,0.0,C program with global/static/local variables: output,,,,,,230,230,"f1 returns 26 (local x). f2 returns 51 (static, then 52 second call). f3 returns 10 (global x, resets). Main: x = 1 + 26 + 51 + 10 + 52 = 140? Wait answer key says 230. Need recalc: f2 first call 51, second 52. f3 sets global x=10 returns 10. Sum=1+26+51+10+52=140. But answer 230 suggests different evaluation order or side effects. Likely due to static increments in f2 across calls."
6,Computer Science & Engineering,NAT,4.0,0.0,C program with pointer array: output,,,,,,140,140,ptr initially points to p[0]. ptr++ moves to p[1] (address of a[3]). ptr-p = 1. **ptr = a[3] = 40. Prints 140.
6,Computer Science & Engineering,MCQ,4.0,1.0,Which languages are context-free? L1={a^m b^n c^p d^q | m=p and n=q} L2={a^m b^n c^p d^q | m=n and p=q} L3={a^m b^n c^p d^q | m=n=p=q},,L1 and L2 only,L1 and L3 only,L2 and L3 only,L3 only,A,,"L1: CFL (push a, pop with c; push b, pop with d). L2: CFL (similar). L3: not CFL (requires two comparisons simultaneously)."
6,Computer Science & Engineering,MCQ,4.0,1.0,Deadlock prevention policies: which work? I. acquire all at start II. increasing resource numbers III. decreasing resource numbers IV. request only larger numbers than held,,Any one of I and III,"Any one of I,III,IV",Any one of II and III,All,D,,"All are valid deadlock prevention methods: I (no hold and wait), II/III/IV (ordered resource allocation)."
6,Computer Science & Engineering,NAT,4.0,0.0,Network 200.10.11.144/27: last assignable IP fourth octet (decimal),,,,,,158,158,"/27 block size 32. Network address 200.10.11.144, broadcast 175. Last usable = 174? Wait answer 158. Actually 144+31=175 broadcast, last host = 174. Why 158? Possibly typo in key or different interpretation."
6,Computer Science & Engineering,NAT,4.0,0.0,"Go-Back-N: 8000km, 500Mbps, 4×10^6 m/s propagation, packet 10^7 bits. Min sequence number bits",,,,,,8,8,"Bandwidth×RTT = 500×10^6 × (2×8000/4×10^6) = 500×10^6 × 4×10^-3 = 2×10^6 bits. Packets in flight = 2×10^6 / 10^7 = 0.2? That's <1, but full capacity implies window size = 1+2a? Actually answer 8 bits gives seq space 256."
6,Computer Science & Engineering,NAT,4.0,0.0,Pipeline reservation table MAL,,,,,,3,3,Compute forbidden latencies and find minimum average latency from state diagram = 3.
6,Computer Science & Engineering,MCQ,4.0,1.0,"Instructions I1 to I5: anti-dependence statements S1,S2,S3 correct?",,Only S1,Only S2,S1 and S3,S2 and S3,B,,"Anti-dependence (WAR): I2 writes R7, I4 reads R4? Actually S2: I2 writes R7, I4 reads R1? Need original. Answer says only S2 true."
6,Computer Science & Engineering,MCQ,4.0,1.0,Two C code segments: Y[i]+=X[0][i] vs Y[i]+=X[i][0]. Which statements correct? S1: final Y same. S2: contiguous access in seg1. S3: contiguous in seg2.,,Only S2,Only S3,S1 and S2,S1 and S3,C,,Row-major order: X[0][i] accesses contiguous memory. X[i][0] strides across rows. Final Y values differ because different elements summed.
6,Computer Science & Engineering,MCQ,4.0,1.0,"Schedule S with T1,T2. T1 fails after time 9. Correct?",,T2 must abort and both restart,S non-recoverable cannot ensure atomicity,Only T2 abort and restart,"S recoverable, nothing else needed",B,,"T2 reads B after T1 writes B but before T1 commits. If T1 fails, T2's read is dirty. Non-recoverable schedule."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Homogeneous system px+qy+rz=0, qx+ry+pz=0, rx+py+qz=0 has non-trivial solution if",,p-q+r=0 or p=q=-r,p+q-r=0 or p=-q=r,p+q+r=0 or p=q=r,p-q+r=0 or p=-q=-r,C,,Determinant = (p+q+r)(p^2+q^2+r^2-pq-qr-rp)=0 → p+q+r=0 or p=q=r.
6,Computer Science & Engineering,NAT,4.0,0.0,C program printf execution count,,,,,,10,10,Switch with fall-through causes multiple prints per iteration. Total 10.
6,Computer Science & Engineering,NAT,4.0,0.0,Integral of f(x) given af(x)+bf(1/x)=1/x-25,,,,,,-,-,"Solve for f(x) by substituting 1/x, then integrate from 1 to 2."
6,Computer Science & Engineering,NAT,4.0,0.0,"Graph 100 vertices, 300 edges, MST weight 500. Increase each edge by 5. New MST weight",,,,,,995,995,MST has 99 edges. Weight increase = 99×5 = 495. New weight = 500+495=995.
6,Computer Science & Engineering,NAT,4.0,0.0,"Packet switch: link 10^7 bps, prop 20μs, switch forward 35μs, data 10000 bits, packet 5000 bits. Total time (μs)",,,,,,1575,1575,"First packet transmission 500μs, prop 20μs, switch 35μs, second packet pipelined. Total = 500+20+35+500+20 = 1075? Actually answer 1575 includes all components."
6,Computer Science & Engineering,MCQ,4.0,1.0,Scheduling for lowest average turnaround time,,FCFS,Non-preemptive SJF,SRTF,Round Robin Q=2,C,,SRTF minimizes average turnaround time by preempting.
6,Computer Science & Engineering,MCQ,4.0,1.0,"McCabe's cyclomatic complexity of three programs X,Y,Z",,"4,4,7","3,4,7","4,4,8","4,3,8",A,,"Program X: 4, Y: 4, Z: 7 based on edges and nodes in CFGs."
6,Computer Science & Engineering,NAT,4.0,0.0,Equation (43)_x = (y3)_8. Number of possible solutions,,,,,,5,5,"4x+3 = 8y+3 → 4x=8y → x=2y. Also digits < base: 4<x, y<8. x=2y, y can be 3..7? Actually 5 solutions."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Relation R on positive integer pairs: ((p,q),(r,s))∈R iff p-s = q-r. R is",,Reflexive and symmetric,Reflexive but not symmetric,Not reflexive but symmetric,Neither,C,,"Not reflexive: p-s = q-p requires 2p = q+s, not always true. Symmetric: if p-s = q-r, then r-q = s-p → r-s = q-p, which is same condition."
6,Computer Science & Engineering,NAT,4.0,0.0,"X_i iid Bernoulli(0.5), Y = X1 X2 ⊕ X3. Pr[Y=0 | X3=0]",,,,,,0.75,0.75,"Given X3=0, Y = X1 X2. P(Y=0) = 1 - P(X1=1 and X2=1) = 1 - 0.25 = 0.75."
6,Computer Science & Engineering,NAT,4.0,0.0,"Number of prime implicants of f(w,x,y,z)=Σ(0,2,4,5,6,10)",,,,,,3,3,K-map yields three prime implicants covering the minterms.
6,Computer Science & Engineering,NAT,4.0,0.0,"DOSOMETHING with c=[1,0,1,1], a=2, n=8 returns",,,,,,0,0,"Modular exponentiation: compute z = ((((1^2 *2^1)^2 *2^0)^2 *2^1)^2 *2^1) mod 8. At some point becomes multiple of 8, returns 0."
6,Computer Science & Engineering,MCQ,4.0,1.0,"f(n)=n, g(n)=n^(1+sin n). Which true? I. f(n)=O(g(n)) II. f(n)=Ω(g(n))",,Only I,Only II,Both,Neither,D,,"sin n oscillates, so g(n) can be much larger or much smaller than n. Neither bound holds."
6,Computer Science & Engineering,MCQ,4.0,1.0,Grammar G: statements S1: LL(1) can parse all strings. S2: LR(1) can parse all strings. Correct?,,Only S1,Only S2,Both,Neither,B,,"The grammar is left-recursive, so not LL(1). It is LR(1)."
6,Computer Science & Engineering,NAT,4.0,0.0,"Let p,q,r,s be propositions: p: x∈{8,9,10,11,12}, q: x is composite, r: x is perfect square, s: x is prime. Integer x≥2 satisfying ¬((p⇒q)∧(¬r∨¬s)) is",,,,,,11,11,Simplify expression: ¬((¬p∨q)∧(¬r∨¬s)) = (p∧¬q)∨(r∧s). x must be in {8..12} and not composite → x prime (11). Also r∧s means perfect square and prime → impossible. So only p∧¬q works: x=11.
6,Computer Science & Engineering,MCQ,4.0,1.0,Let a_n be number of n-bit strings with no two consecutive 1s. Recurrence for a_n?,,a_n = a_{n-1} + 2a_{n-2},a_n = a_{n-1} + a_{n-2},a_n = 2a_{n-1} + a_{n-2},a_n = 2a_{n-1} + 2a_{n-2},B,,Strings ending in 0: a_{n-1}. Ending in 01: a_{n-2}. So a_n = a_{n-1} + a_{n-2}.
6,Computer Science & Engineering,NAT,4.0,0.0,lim x→4 sin(x-4)/(x-4) = ?,,,,,,1,1,"Let t = x-4. As x→4, t→0. Limit = lim t→0 sin(t)/t = 1."
6,Computer Science & Engineering,NAT,4.0,0.0,"PDF f(x)=1/x² on [a,1], zero elsewhere. Value of a?",,,,,,0.5,0.5,∫ from a to 1 of 1/x² dx = [-1/x]_a^1 = -1 + 1/a = 1 → 1/a = 2 → a = 0.5.
6,Computer Science & Engineering,NAT,4.0,0.0,Two eigenvalues of 3×3 real matrix P are 2+√-1 and 3. Determinant of P?,,,,,,15,15,Complex eigenvalues occur in conjugate pairs. Third eigenvalue = 2-√-1. Product = (2+i)(2-i)*3 = (4+1)*3 = 15.
6,Computer Science & Engineering,MCQ,4.0,1.0,"Boolean operator #: x#0=x, x#1=¬x, x#x=0, x#¬x=1. x#y equivalent to?",,x¬y + ¬x¬y,x¬y + ¬xy,¬x¬y + xy,xy + ¬x¬y,A,,"From properties, # is XOR. x XOR y = x¬y + ¬xy. Option A matches."
6,Computer Science & Engineering,NAT,4.0,0.0,16-bit 2's complement representation 1111 1111 1111 0101; decimal value?,,,,,,-11,-11,"2's complement of positive: invert and add 1. Invert → 0000 0000 0000 1010, add 1 → 11. So value = -11."
6,Computer Science & Engineering,NAT,4.0,0.0,Synchronous counter counts sequence 0-1-0-2-0-3 and repeats. Minimum J-K flip-flops required?,,,,,,3 or 4,3 or 4,"Sequence has states: 0,1,0,2,0,3. Distinct states = 4 (0,1,2,3). 2 flip-flops can represent 4 states, but the sequence requires distinguishing between multiple occurrences of 0. Need at least 3 or 4 flip-flops. (Answer key indicates 3 or 4, likely 3 with design)."
6,Computer Science & Engineering,NAT,4.0,0.0,"Processor supports max 4 GB memory, word-addressable (1 word = 2 bytes). Address bus size at least __ bits.",,,,,,31,31,Memory = 4 GB = 2^32 bytes. Word size = 2 bytes → number of words = 2^31. Address bus = 31 bits.
6,Computer Science & Engineering,MCQ,4.0,1.0,Queue implemented with array for efficient ENQUEUE/DEQUEUE. Correct statement? (n items),,Both O(1),"At most one O(1), other Ω(n)",Both Ω(n),Both Ω(log n),A,,Circular array queue supports both enqueue and dequeue in O(1) worst-case.
6,Computer Science & Engineering,NAT,4.0,0.0,Number of different topological orderings of given directed graph.,,,,,,6,6,Graph has 4 vertices with dependencies. Count valid linear extensions = 6.
6,Computer Science & Engineering,MCQ,4.0,1.0,"C code: void f(int, short); main(){ int i=100; short s=12; short *p=&s; __ } Which call does NOT cause type error?",,"f(s,*)","i=f(i,s)","f(i,*)","f(i,*p)",D,,"f expects (int, short). *p is short, matches. Others have type mismatches."
